taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey
1155507,"Nustera distigma (Charpentier, 1825)",1155507,"Nustera distigma (Charpentier, 1825)",2,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Coleoptera,1470,Cerambycidae,5602,Nustera,1155506,Nustera distigma,1155507
5347845,Pisum sativum L.,5347845,Pisum sativum L.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Pisum,2940361,Pisum sativum,5347845
7382879,Galium divaricatum Pall. ex Ledeb.,7221734,Cruciata taurica subsp. taurica,1,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Gentianales,412,Rubiaceae,8798,Cruciata,2908322,Cruciata taurica,5338952
2606018,Usnea ceratina Ach.,2606018,Usnea ceratina Ach.,9,SPECIES,ACCEPTED,Fungi,5,Ascomycota,95,Lecanoromycetes,180,Lecanorales,1048,Parmeliaceae,8305,Usnea,2605982,Usnea ceratina,2606018
2974921,Vicia villosa subsp. varia (Host) Corb.,2974921,Vicia villosa subsp. varia (Host) Corb.,1,SUBSPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Vicia,2974751,Vicia villosa,9182154
9365655,"Euura poecilonota (Zaddach, 1876)",4491333,"Nematus poecilonotus Zaddach, 1876",2,SPECIES,SYNONYM,Animalia,1,Arthropoda,54,Insecta,216,Hymenoptera,1457,Tenthredinidae,7918,Nematus,1249701,Nematus poecilonotus,4491333
5145096,"Scopula irrorata (Bethune-Baker, 1891)",5145096,"Scopula irrorata (Bethune-Baker, 1891)",7,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Lepidoptera,797,Geometridae,6950,Scopula,1970574,Scopula irrorata,5145096
2318083,"Notomastus profondus (Eisig, 1887)",2318083,"Notomastus profondus (Eisig, 1887)",3,SPECIES,ACCEPTED,Animalia,1,Annelida,42,Polychaeta,256,,,Capitellidae,5752,Notomastus,2318072,Notomastus profondus,2318083
2301024,"Haloceras Dall, 1899",2301024,"Haloceras Dall, 1899",1,GENUS,ACCEPTED,Animalia,1,Mollusca,52,Gastropoda,225,Littorinimorpha,7390893,Haloceratidae,2672,Haloceras,2301024,,
5728058,"Fusiturris undatiruga (Bivona Ant., 1838)",5728058,"Fusiturris undatiruga (Bivona Ant., 1838)",3,SPECIES,ACCEPTED,Animalia,1,Mollusca,52,Gastropoda,225,Neogastropoda,982,Fusiturridae,9891904,Fusiturris,7234789,Fusiturris undatiruga,5728058
7268074,Silene uniflora subsp. uniflora,7268074,Silene uniflora subsp. uniflora,1,SUBSPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Caryophyllaceae,2518,Silene,3085897,Silene uniflora,8406661
2723521,Carex binervis Sm.,2723521,Carex binervis Sm.,7,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Carex,2721893,Carex binervis,2723521
3112721,Cirsium latifolium Lowe,3112721,Cirsium latifolium Lowe,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Cirsium,3112554,Cirsium latifolium,3112721
